Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity	Type
A01002	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	train
A01005	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A01006	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	train
A01007	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	train
A01008	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	train
A01009	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	train
A01010	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	train
A01011	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	train
A01014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	train
A01015	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	train
A01016	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	train
A01018	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	train
A01019	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	train
A01020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A02003	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	train
A02004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	train
A02005	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	train
A02006	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	train
A02007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	train
A02008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	train
A02010	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	train
A02011	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	train
A02012	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	train
A02013	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	train
A02014	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	train
A02015	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	train
A02016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	train
A02019	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	train
A02020	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	train
A03001	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	train
A03002	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	train
A03003	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	train
A03004	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	train
A03006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	train
A03007	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	train
A03008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	train
