Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
F01000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01005	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01006	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
F01007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01008	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01009	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01010	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01011	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01013	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01015	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01016	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01018	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01021	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
F01022	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01023	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01025	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01027	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01028	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01029	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
F01030	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01031	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01032	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01033	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01034	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
F01035	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01037	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01038	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01040	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01041	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01042	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F01043	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01044	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01045	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01046	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01047	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01051	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01052	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01053	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01054	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01058	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01061	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01062	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01063	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01064	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01065	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
F01066	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01067	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01068	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
F01069	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01070	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
F01071	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0
F01072	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01074	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01076	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01078	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01079	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01081	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01083	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01085	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01087	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01090	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01091	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01093	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01095	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01096	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01097	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01099	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01100	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01101	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01102	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01103	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01104	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01105	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01106	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01107	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01108	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F01109	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
