Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
G01001	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01002	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01003	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01004	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01005	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01006	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01007	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01008	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01009	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01010	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G01011	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01012	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01013	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
G01014	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
G01015	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
G01016	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0
G01017	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01018	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01020	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01022	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01024	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0
G01025	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01026	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01027	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01028	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01029	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01031	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
G01032	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01033	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01034	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01035	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
G01036	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01037	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01038	1	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
G01039	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01040	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01041	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01042	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01043	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01045	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01046	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01047	1	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
G01048	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01049	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01050	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01051	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01052	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
G01053	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
